id,name,latitude,longitude,address,hash_tags,unique_page
1,Sawadika Festin Thailandais,45.510376,-73.686589,1800 Boulevard de la Côte-Vertu,"Thai,Szechuan,Vietnamese,Asian,Chinese,Fusion",https://www.restomontreal.ca/resto/sawadika-festin-thailandais-ville-saint-laurent/4724/en/
2,Moghel Tandoori,45.566606,-73.449138,2770 Boulevard Jacques-Cartier E,"Indian,Halal",https://www.restomontreal.ca/resto/moghel-tandoori-longueuil/3180/en/
3,Le Poutine Bar,45.559017,-73.862584,4750 Boulevard Ste-Rose,"Casse-Croute (Snack Bar),Poutine,Burgers,Comfort Food,Sandwiches,Pizza",https://www.restomontreal.ca/resto/le-poutine-bar-fabreville/11476/en/
4,Giorgio,45.724778,-73.507328,950 Montée des Pionniers,"Italian,Pasta,Pizza",https://www.restomontreal.ca/resto/giorgio-terrebonne-lachenaie/9208/en/
5,Gerry's Delicatessen,45.549319,-73.54166,3982 Rue Ontario E,"Smoked Meat,Deli,Comfort Food,Canadian,Pizza,Pasta",https://www.restomontreal.ca/resto/gerrys-delicatessen-hochelaga-maisonneuve/855/en/
6,Bistro MM Station Culinaire,45.66603,-73.870012,771A Boulevard Curé-Labelle,"Bistro,International,Fusion,Market,Tartare,Salads",https://www.restomontreal.ca/resto/bistro-mm-station-culinaire-blainville/12581/en/
7,Anorak - Broue Pub / Brasserie,45.903907,-74.236717,2 Rue Meadowbrook,"BBQ,American,Smokehouse,Comfort Food,Burgers,Poutine",https://www.restomontreal.ca/resto/anorak-broue-pub-brasserie-/15420/en/
8,Hawgs Deli,45.597894,-73.579216,6795 Rue Jarry E,"Smoked Meat,BBQ,Burgers,Breakfast,Grill,Deli",https://www.restomontreal.ca/resto/hawgs-deli-anjou-st-leonard/896/en/
9,Namaste Inde - India,45.46151,-73.566969,4230A Rue Wellington,Indian,https://www.restomontreal.ca/resto/namaste-inde-india-verdun/14291/en/
10,Restaurant Abouda,45.53575,-73.601864,6349 Rue St-Hubert,"Tunisian,Grill,Vegetarian,Vegan Options,Mediterranean",https://www.restomontreal.ca/resto/restaurant-abouda-rosemont-la-petite-patrie/16986/en/
11,YOSO,45.581187,-73.703911,1595-B Boulevard Des Laurentides,"Creative,Asian,Japanese",https://www.restomontreal.ca/resto/yoso-pont-viau/17334/en/
12,Restaurant Saké,45.574908,-73.875179,"180, 25e ave.","Japanese,Sushi,Fusion,Grill,Asian",https://www.restomontreal.ca/resto/restaurant-sake-saint-eustache/9098/en/
13,Resto Bar Brasse-Rires,45.599504,-73.725078,1790 Boulevard des Laurentides,"Pub Food,Poutine,Pasta,Burgers",https://www.restomontreal.ca/resto/resto-bar-brasse-rires-vimont/15047/en/
14,Solaris,45.486981,-73.635433,5487 Boulevard Décarie,"Sandwiches,Burgers,Salads,Pizza,Café",https://www.restomontreal.ca/resto/solaris-cote-des-neiges/5880/en/
15,Le Coup Monté,45.738973,-73.448787,467 Rue Notre-Dame E,"French,Market,Bistro,Tartare",https://www.restomontreal.ca/resto/le-coup-monte-repentigny/10329/en/
16,Nourri au Beurre,45.590201,-73.430579,1052 Rue Lionel-Daunais,"French,Market,Wild Game,Regional",https://www.restomontreal.ca/resto/nourri-au-beurre-boucherville/11995/en/
17,Chez Doval,45.52055,-73.582675,150 Rue Marie-Anne E,"Portuguese,Grill,Seafood/Fish",https://www.restomontreal.ca/resto/chez-doval-le-plateau/1547/en/
18,Côba Sushi,45.517068,-73.597802,1124 Avenue Laurier O,"Sushi,Japanese,Asian,Contemporary/Modern,Tapas,Grill",https://www.restomontreal.ca/resto/coba-sushi-mile-end/1522/en/
19,La Panzeria,45.520861,-73.576626,4084 Rue Saint-Denis,"Italian,Café,Pizza,Pasta,Sandwiches,Desserts & Sweets",https://www.restomontreal.ca/resto/la-panzeria-le-plateau/15036/en/
20,Aldea,45.519585,-73.584857,4403 Boulevard St-Laurent,"Portuguese,Grill,Mediterranean,Seafood/Fish,Tapas",https://www.restomontreal.ca/resto/aldea-le-plateau/11355/en/
21,Mikasa Sushi Bar Chiisai,45.592676,-73.669026,3005 Boulevard Concorde E,"Japanese,Sushi",https://www.restomontreal.ca/resto/mikasa-sushi-bar-chiisai-duvernay/3133/en/
22,Maggie Oakes,45.507589,-73.553029,426 Place Jacques-Cartier,"Market,Steakhouse,Grill,Salads,Burgers,Breakfast",https://www.restomontreal.ca/resto/maggie-oakes-old-montreal/10985/en/
23,Trattoria La Villetta,45.512535,-73.692958,1898 Boulevard Thimens,"Italian,Pizza,Pasta",https://www.restomontreal.ca/resto/trattoria-la-villetta-ville-saint-laurent/3505/en/
24,New Mlle Rosa,45.529184,-73.578311,1233 Avenue Mont-Royal E,"Indian,Tapas",https://www.restomontreal.ca/resto/mlle-rosa-le-plateau/18265/en/
25,Saint Sushi,45.52114,-73.575347,424 Avenue Duluth E,"Sushi,Japanese",https://www.restomontreal.ca/resto/saint-sushi-le-plateau/6343/en/
26,Bananier,45.469195,-73.541528,8 Place du Commerce,"Thai,Asian,Fusion,Vegetarian",https://www.restomontreal.ca/resto/bananier-verdun/785/en/
27,Pandora Supper Club,45.576496,-73.713718,579 Boulevard St-Martin O,"Tapas,Sushi,Tartare,Creative",https://www.restomontreal.ca/resto/pandora-supper-club-chomedey/16846/en/
28,Et Caetera,45.570597,-73.200211,80 Rue St-Mathieu,"French,Mediterranean,Tartare,Mussels",https://www.restomontreal.ca/resto/et-caetera-beloeil/5291/en/
29,Sushi Taxi,46.540348,-72.753978,932 Promenade du St-Maurice,"Sushi,Asian,Vegetarian,Poke Bowl,Gluten-free Options",https://www.restomontreal.ca/resto/sushi-taxi-shawinigan/12226/en/
30,Restaurant L'Élan - Parcours du Cerf,45.560712,-73.452331,2500 Boulevard Fernand-Lafontaine,"Breakfast,French,Asian,Fusion,Market",https://www.restomontreal.ca/resto/restaurant-lelan-parcours-du-cerf-longueuil/15239/en/
31,Toi Moi et Café,45.625558,-73.803936,220 Boulevard Labelle,"Breakfast,Café,Bistro,Healthy,Salads,Sandwiches",https://www.restomontreal.ca/resto/toi-moi-et-cafe-rosemere/6731/en/
32,Pic Bois Bistro Taverne,45.720627,-73.493919,30 Rue Émile-Despins,"Regional,Bistro,Grill,Creative",https://www.restomontreal.ca/resto/pic-bois-bistro-taverne-/7368/en/
33,Le Shack Du Pêcheur,45.592131,-73.430894,1052 Rue Lionel-Daunais,"Seafood/Fish,Fish & Chips,Mediterranean,Tapas,Tartare,Mussels",https://www.restomontreal.ca/resto/le-shack-du-pecheur-boucherville/12698/en/
34,Le Uptown,45.505369,-73.556061,56 Rue Notre Dame O,"African,Grill,Poutine,Sandwiches,Chicken Wings,Gluten-free Options",https://www.restomontreal.ca/resto/le-uptown-old-montreal/17963/en/
35,Banh Mi,45.581187,-73.703911,1595 Boulevard Des Laurentides,"Asian,Vietnamese,Sandwiches",https://www.restomontreal.ca/resto/banh-mi-/17821/en/
36,Grigio,45.341206,-73.285246,1265 Rue Douglas,"Italian,Grill,Pasta,Mussels,Gluten-free Options",https://www.restomontreal.ca/resto/grigio-st-jean-sur-richelieu/14079/en/
37,Kam Shing Van Horne Restaurant,45.494826,-73.637667,4771 Avenue Van Horne,"Chinese,Szechuan,Asian",https://www.restomontreal.ca/resto/kam-shing-van-horne-restaurant-notre-dame-de-grace-ndg/1036/en/
38,Typhoon Lounge,45.473641,-73.624254,5752 Avenue de Monkland,"Pub Food,Burgers,Poutine,Tartare",https://www.restomontreal.ca/resto/typhoon-lounge-monkland-village/2695/en/
39,Regina Pizzeria,45.455967,-73.464381,7681 Boulevard Taschereau,"Pizza,Italian,Pasta,Grill,Charcuterie,Gluten-free Options",https://www.restomontreal.ca/resto/regina-pizzeria-brossard/13441/en/
40,Jacques Cartier Pizza,45.592566,-73.208898,650 Rue Serge-Pepin,"Pizza,Poutine,Burgers,Comfort Food,Pasta,Sandwiches",https://www.restomontreal.ca/resto/jacques-cartier-pizza-beloeil/17160/en/
41,Restaurant Le Grill,46.342303,-72.543064,350 Rue des Forges,"Steakhouse,Grill,Seafood/Fish,Tartare,Burgers,BBQ",https://www.restomontreal.ca/resto/restaurant-le-grill-trois-rivieres/11169/en/
42,Le Nil Bleu,45.518435,-73.571195,3706 Rue Saint-Denis,"Ethiopian,African,Exotic,Vegetarian,Healthy,Vegan Options",https://www.restomontreal.ca/resto/le-nil-bleu-le-plateau/1427/en/
43,Allô mon Coco,45.449438,-73.608902,6817 Boulevard Newman,"Breakfast,Salads,Burgers,Grill,Crêpes,Sandwiches",https://www.restomontreal.ca/resto/allo-mon-coco-lasalle/10348/en/
44,New Uma Sushi,45.504571,-73.5688,537 Rue Ste-Catherine O,"Japanese,Sushi,Fusion,Asian,Vegetarian",https://www.restomontreal.ca/resto/uma-sushi-downtown/19942/en/
45,Diane Deli & Grill,45.626255,-73.502052,10941 Rue Notre-Dame E,"Grill,Pizza,Deli,Smoked Meat,Seafood/Fish,Sandwiches",https://www.restomontreal.ca/resto/diane-deli-grill-montreal-east/4557/en/
46,Sep Lai,45.478448,-73.569608,2601 Rue Centre,"Laotian,Asian,Vegetarian,Vegan Options,Gluten-free Options",https://www.restomontreal.ca/resto/sep-lai-pointe-st-charles/14579/en/
47,Rizière D'Asie Express,45.325595,-73.736674,529 Boulevard St-Jean Baptiste,"Sushi,Japanese,Vietnamese,Asian,Dumplings,Bubble tea",https://www.restomontreal.ca/resto/riziere-dasie-express-chateauguay/17270/en/
48,Jacques Cartier Pizza,45.497619,-73.479372,2029 Boulevard Édouard,"Pizza,Poutine,Burgers,Comfort Food,Pasta,Sandwiches",https://www.restomontreal.ca/resto/jacques-cartier-pizza-saint-hubert/1189/en/
49,Marathon Souvlaki Express,45.540397,-73.749262,3940 Boulevard Notre-Dame,"Greek,Grill,Mediterranean,Salads,Gluten-free Options",https://www.restomontreal.ca/resto/marathon-souvlaki-express-chomedey/10451/en/
50,Le Surcouf,45.403387,-73.949368,51 Rue Ste-Anne,"French,Creative,Tartare,Gluten-free Options",https://www.restomontreal.ca/resto/le-surcouf-sainte-anne-de-bellevue/2105/en/
51,Walter Bistro,45.563575,-73.656213,1575 Rue Fleury E,"Bistro,Pasta,Salads,Comfort Food,Pizza,Fish & Chips",https://www.restomontreal.ca/resto/walter-bistro-ahuntsic-cartierville/10770/en/
52,Au Trait D'Union,45.569633,-73.200356,919 Rue Laurier,"Bistro,Grill,Regional,Sandwiches,Seafood/Fish,Burgers",https://www.restomontreal.ca/resto/au-trait-dunion-beloeil/3656/en/
53,Randolph Pub Ludique Saint-Jérôme,45.77645,-74.002679,313 Rue St-Georges,"Comfort Food,Burgers,Poutine,Fish & Chips,Salads,Tartare",https://www.restomontreal.ca/resto/randolph-pub-ludique-saint-jerome-saint-jerme/17241/en/
54,Biru Biru,45.489358,-73.584479,2170 Rue Ste-Catherine O,"Sushi,Japanese,Grill,Seafood/Fish,Asian",https://www.restomontreal.ca/resto/biru-biru-downtown/17335/en/
55,The Farsides,45.500092,-73.559931,690 Rue Notre-Dame O,"Thai,Hawaiian,Fusion,Grill,Seafood/Fish,Burgers",https://www.restomontreal.ca/resto/the-farsides-old-montreal/13556/en/
56,Manga Bistro,45.493209,-73.579718,1836A Rue Ste-Catherine O,"Sushi,Japanese,Fusion,Asian",https://www.restomontreal.ca/resto/manga-bistro-downtown/17295/en/
57,Allô mon Coco,45.494143,-73.656004,5405 Rue des Jockeys,"Breakfast,Salads,Burgers,Grill,Crêpes,Sandwiches",https://www.restomontreal.ca/resto/allo-mon-coco-cote-des-neiges/14764/en/
58,Brasserie 701,45.50539,-73.557464,701 Côte de la Place d'Armes,"Creative,Eclectic,Charcuterie,International,Breakfast,Fusion",https://www.restomontreal.ca/resto/brasserie-701-old-montreal/2535/en/
59,Snatch Restaurant,45.521534,-73.589089,4675 Boulevard St-Laurent,"Comfort Food,Burgers,Halal,Poutine,Vegetarian,French",https://www.restomontreal.ca/resto/snatch-restaurant-le-plateau/14069/en/
60,Ocakbasi Mardin Palace,45.55822,-73.743877,3010 Boulevard St-Martin O,"Turkish,Mediterranean,Middle Eastern,Vegetarian,Grill,Seafood/Fish",https://www.restomontreal.ca/resto/ocakbasi-mardin-palace-chomedey/13703/en/
61,Siam,45.496602,-73.572865,1325 Boulevard René-Lévesque O,"Thai,Fusion,Asian,Vegetarian,Vegan Options,Gluten-free Options",https://www.restomontreal.ca/resto/siam-downtown/12934/en/
62,La Belle et La Barbe - Bistro Urbain,45.495238,-73.41007,5961 Boulevard Cousineau,"Bistro,Tartare,Seafood/Fish,Tapas,Grill,Pasta",https://www.restomontreal.ca/resto/la-belle-et-la-barbe-bistro-urbain-saint-hubert/10945/en/
63,Trattoria Lanni,45.40656,-74.03478,590 Rue St-Charles,"Italian,Pizza,Gluten-free Options",https://www.restomontreal.ca/resto/trattoria-lanni-vaudreuil-dorion/5696/en/
64,L'Académie,45.597131,-73.562809,7275 Boulevard des Galeries D'Anjou,"Italian,French,Bistro,Tartare,Mussels",https://www.restomontreal.ca/resto/l-academie-anjou-st-leonard/1686/en/
65,L'Hamburger,45.538508,-73.605931,933 Rue St-Zotique E,"Burgers,American,Poutine,Comfort Food,Canadian,Juice Bar & Smoothies",https://www.restomontreal.ca/resto/lhamburger-rosemont-la-petite-patrie/13928/en/
66,Paparazzi's,45.594538,-73.78588,338 Boulevard Curé-Labelle,"Italian,Pizza,Pasta",https://www.restomontreal.ca/resto/paparazzi-s-sainte-rose/12384/en/
67,Stanley,45.49788,-73.571404,1201 Boulevard René-Lévesque O,"Market,International,Seafood/Fish,Tartare,Breakfast,Burgers",https://www.restomontreal.ca/resto/stanley-downtown/16974/en/
68,Café du Théâtre - Brasserie Française,45.441052,-73.440323,6000 Boulevard de Rome,"French,Regional,Café,Bistro,Breakfast,Tartare",https://www.restomontreal.ca/resto/cafe-du-theatre-brasserie-francaise-brossard/8542/en/
69,Montreal Kebab,45.50719,-73.552505,138 Rue St-Paul E,"Lebanese,Mediterranean,Vegetarian,Halal,Grill,Middle Eastern",https://www.restomontreal.ca/resto/montreal-kebab-old-montreal/12529/en/
70,La Vieille Banque,45.614598,-73.786008,205 Boulevard Ste-Rose,"Italian,Mediterranean,Wild Game,Seafood/Fish,Grill,Pasta",https://www.restomontreal.ca/resto/la-vieille-banque-sainte-rose/5172/en/
71,Le B-38 Sushi et Poke,45.571979,-73.571786,5003 Rue Beaubien E,"Japanese,Sushi,Asian,Poke Bowl,Fusion,Vegetarian",https://www.restomontreal.ca/resto/le-b-38-sushi-et-poke-/12820/en/
72,Terrasse Nelligan,45.503983,-73.554215,"106 Rue St-Paul O, 5e étage","Grill,Bistro,Charcuterie",https://www.restomontreal.ca/resto/terrasse-nelligan-old-montreal/4647/en/
73,Skillz Cuisine,45.480046,-73.579956,3544 Rue Notre-Dame O,"Jamaican,Caribbean,Grill,Seafood/Fish",https://www.restomontreal.ca/resto/skillz-cuisine-saint-henri/16469/en/
74,La Maison Grecque,45.521371,-73.575149,450 Avenue Duluth E,"Greek,Mediterranean,Grill,Tapas,Market,Vegetarian",https://www.restomontreal.ca/resto/la-maison-grecque-le-plateau/1288/en/
